ISSN,e-ISSN,p-ISSN,SourceID,Acronym,JournalTitle,ASJCScopus,ASJCMarketing
0142-0615,1879-3517,0142-0615,17985,JEPE,International Journal of Electrical Power and Energy Systems,2102;2208,
1557-5063,1931-6283,1557-5063,4700152214,JEPM,Journal of Exotic Pet Medicine,3400,
0301-4215,1873-6777,0301-4215,29403,JEPO,Energy Policy,2100;2308,
2307-1877,2307-1885,,21100293700,JER,Journal of Engineering Research,2200,
0003-6870,1872-9126,0003-6870,13929,JERG,Applied Ergonomics,3307;3612;2213;2201,
1001-0742,1878-7320,1001-0742,23393,JES,Journal of Environmental Sciences,2305;2304;2300,
1110-578X,,,21100854884,JESCTS,Journal of the Egyptian Society of Cardio-Thoracic Surgery,2746;2705,
1728-869X,2226-5104,1728-869X,3200147837,JESF,Journal of Exercise Science & Fitness,3612;2739,
2314-7172,,,,JESIT,Journal of Electrical Systems and Information Technology,,
0141-0296,1873-7323,0141-0296,15652,JEST,Engineering Structures,2205,
2215-0986,2215-0986,,21100806003,JESTCH,"Engineering Science and Technology, an International Journal",2504;2205;2502;2210;1708;1507;1705;2506,
2949-9488,2949-9488,,,JET,Journal of Economy and Technology,,
2949-8384,2949-8384,,,JEUD,Journal of Endometriosis and Uterine Disorders,,
2211-4238,2211-4246,2211-4238,21100228103,JEUREA,Journal Européen des Urgences et de Réanimation,2711;2706,
1877-8585,1877-8593,1877-8585,19600161806,JFBS,Journal of Family Business Strategy,2002;1408,
0956-7135,1873-7129,0956-7135,22577,JFCO,Food Control,1305;1106,
1872-5813,1872-5813,,14237,JFCT,Journal of Fuel Chemistry and Technology,1500;2103;1606,"1906
"
0094-730X,1873-801X,0094-730X,15506,JFD,Journal of Fluency Disorders,3205;1203;3310;2805;3616;2912,
1021-9498,,,20578,JFDA,Journal of Food and Drug Analysis,1106;3004,
2405-9188,2405-9188,,21101021576,JFDS,The Journal of Finance and Data Science,2613;1401;2003;2002;1706;2604,
1104-6899,,,22869,JFE,Journal of Forest Economics,1107;3305;2303;2001,
0140-6701,1873-7161,0140-6701,,JFEA,Fuel and Energy Abstracts,,"2102;2103
"
1756-4646,2214-9414,1756-4646,17500155016,JFF,Journal of Functional Foods,1106;2701;2916,
0929-6646,1876-0821,0929-6646,27952,JFMA,Journal of the Formosan Medical Association,2700,
0955-5986,1873-6998,0955-5986,15026,JFMI,Flow Measurement and Instrumentation,2611;3105;1706;2208,
0181-5512,1773-0597,0181-5512,14475,JFO,Journal Français d'Ophtalmologie,2731,
0260-8774,1873-5770,0260-8774,20586,JFOE,Journal of Food Engineering,1106,
2949-8899,2949-8899,,,JFOP,JFO Open Ophthalmology,,2731
0362-028X,1944-9097,0362-028X,20610,JFP,Journal of Food Protection,2404;1106,
0306-9192,1873-5657,0306-9192,35048,JFPO,Food Policy,1106;3303;3312;2002;2308,
1572-3089,1878-0962,1572-3089,144987,JFS,Journal of Financial Stability,2003;2000,
2772-414X,2772-414X,,,JFSCIE,JADA Foundational Science,,"3500
"
0016-3287,1873-6378,0016-3287,25561,JFTR,Futures,1403;3303;3312,
0016-2361,1873-7153,0016-2361,16313,JFUE,Fuel,1500;2103;2102;1605,
2666-0520,2666-0520,,,JFUECO,Fuel Communications,,
2772-5669,2772-5669,,21101097033,JFUTFO,Journal of Future Foods,1106;1101;2916,
2213-7165,2213-7173,2213-7165,21100253424,JGAR,Journal of Global Antimicrobial Resistance,2404;2723;2403;2726,
2667-3193,2667-3193,,,JGE,Journal of Government and Economics,,"2308;3312;3303;2002;2001
"
1687-157X,2090-5920,,21100463067,JGEB,Journal of Genetic Engineering and Biotechnology,1305;1311,
0959-3780,1872-9495,0959-3780,36483,JGEC,Global Environmental Change,2306;3305;2303;2308,
1673-8527,1873-5533,1673-8527,5300152707,JGG,Journal of Genetics and Genomics,1312;1311,
1352-0237,,,15820,JGI,Journal of Government Information,3312,
0380-1330,2773-0719,0380-1330,17510,JGLR,Journal of Great Lakes Research,1105;1104;2303,
1879-4068,1879-4076,1879-4068,19700175259,JGO,Journal of Geriatric Oncology,2730;2717,
1226-8453,2093-4947,1226-8453,19700188222,JGR,Journal of Ginseng Research,1305;1301;2707,
2949-9089,2949-9089,2949-9097,21101176003,JGSE,Gas Science and Engineering,2103;1909;2102,
1353-8292,1873-2054,1353-8292,29102,JHAP,Health and Place,3306;3312;3319,
0167-6296,1879-1646,0167-6296,14166,JHE,Journal of Health Economics,2719;2739,
2214-4048,2214-4056,2214-4048,21100318420,JHEAP,Journal of High Energy Astrophysics,3103;1912,
0168-8278,1600-0641,0168-8278,25297,JHEPAT,Journal of Hepatology,2721,
2589-5559,2589-5559,,21101037196,JHEPR,JHEP Reports,2724;2723;2721;2715,
1570-6443,1876-4444,1570-6443,11300153741,JHER,Journal of Hydro-environment Research,2305;2205;2304;2312;2308,
2707-3688,2950-175X,,,JHIP,Journal of Holistic Integrative Pharmacy,,
1473-8376,1473-8376,,11700154505,JHLSTE,"Journal of Hospitality, Leisure, Sport & Tourism Education",3304;1409,
2950-1334,2950-1334,,,JHLTO,JHLT Open,,
2603-6479,2603-6479,,21100862736,JHQR,Journal of Healthcare Quality Research,2719,
2589-5141,2589-5141,,21100904983,JHSG,Journal of Hand Surgery Global Online,2746;2732;2742,
1447-6770,1839-5260,1447-6770,21100255484,JHTM,Journal of Hospitality and Tourism Management,1409,
2468-1202,,,,JHTQM,Journal of Hospital Total Quality Management,,
2095-3119,2352-3425,2095-3119,21100203903,JIA,Journal of Integrative Agriculture,1106;1303;2303;3403;1103;1102;1110,
0162-0134,1873-3344,0162-0134,17615,JIB,Journal of Inorganic Biochemistry,1303;1604,
1341-321X,1437-7780,1341-321X,23034,JIC,Journal of Infection and Chemotherapy,2726;2725;2736,
1561-8811,,,,JICC,Journal of Indian College of Cardiology,,
0019-4522,2667-2847,,24097,JICS,Journal of the Indian Chemical Society,3002;1606;1605;1604;1603,
0022-202X,1523-1747,0022-202X,24868,JID,Journal of Investigative Dermatology,1303;1312;2708;1307,
2352-6645,,,,JIDES,Journal of Innovation in Digital Ecosystems,,
2543-3431,2543-3431,2543-344X,,JIDI,Journal d'imagerie diagnostique et interventionnelle,,"2741
"
1226-086X,1876-794X,1226-086X,144861,JIEC,Journal of Industrial and Engineering Chemistry,1500,
2212-8786,,,,JIEMA,Journal of Inborn Errors of Metabolism in Adults,,
2452-414X,2452-414X,2467-964X,21100787106,JII,Journal of Industrial Information Integration,2209;1802,
2949-7159,2949-7159,,,JIIXD,Journal of Information and Intelligence,,
0883-0355,1873-538X,0883-0355,12073,JIJER,International Journal of Educational Research,3304,
0142-1123,1879-3452,0142-1123,21105,JIJF,International Journal of Fatigue,2611;2500;2211;2210;2209,
0140-7007,1879-2081,0140-7007,16113,JIJR,International Journal of Refrigeration,2215;2210,
2444-569X,2444-569X,2530-7614,21100932830,JIK,Journal of Innovation & Knowledge,1403;2002;1406;1405,
2772-4220,2772-4220,,21101167512,JIL,Journal of Ionic Liquids,1501;2301,1500;1501;1505;1506;1507
0022-1759,1872-7905,0022-1759,21274,JIM,Journal of Immunological Methods,2723;2403,
2211-5404,,,,JIMCR,Journal of Integrative Medical Case Reports,,
2096-3602,2590-0293,,21101060162,JIMED,Journal of Interventional Medicine,2700,
0261-5606,1873-0639,0261-5606,17533,JIMF,Journal of International Money and Finance,2003;2002,
0020-1383,1879-0267,0020-1383,29801,JINJ,Injury,2711;2732,
2950-2764,2950-2764,,,JINSE,Journal of Industrial Safety,,
1876-0341,1876-035X,1876-0341,16800154711,JIPH,Journal of Infection and Public Health,2739;2725,
2214-2126,2214-2134,2214-2126,21100332403,JISA,Journal of Information Security and Applications,1712;2213;1705,
2059-7754,2059-7762,,21100921027,JISAKO,Journal of ISAKOS,2746;2732,
1087-0024,1529-1774,1087-0024,24877,JISP,Journal of Investigative Dermatology Symposium Proceedings,1305;1312;2708;1307,
1006-706X,,,12329,JISRI,Journal of Iron and Steel Research International,2211;2506;2505,
1350-4533,1873-4030,1350-4533,17817,JJBE,Medical Engineering and Physics,1304;2204,
0914-5087,1876-4738,0914-5087,23828,JJCC,Journal of Cardiology,2705,
1050-6411,1873-5711,1050-6411,14897,JJEK,Journal of Electromyography and Kinesiology,2801;1304;2728,
0268-4012,1873-4707,0268-4012,15631,JJIM,International Journal of Information Management,1404;1710;1705;1802;1406;3309;1702,
2667-0968,2667-0968,,21101081610,JJIMEI,International Journal of Information Management Data Insights,1404;1710;1802;3309;2209;1702,"1710;3309
"
0021-5155,,,13947,JJO,Japanese Journal of Ophthalmology,2731,
0300-5712,1879-176X,0300-5712,25686,JJOD,Journal of Dentistry,3500,
2589-7004,,,21100936402,JJODO,Journal of Dentistry: X,3500,
2949-7051,2949-7051,,,JJOISR,Journal of Joint Surgery and Research,,
0959-1524,1873-2771,0959-1524,14414,JJPC,Journal of Process Control,2207;2611;1706;2209,
0969-6989,1873-1384,0969-6989,22992,JJRC,Journal of Retailing and Consumer Services,1406,
1226-3192,,,11300153404,JKSS,Journal of the Korean Statistical Society,2613,
1319-1578,2213-1248,1319-1578,21100389724,JKSUCI,Journal of King Saud University - Computer and Information Sciences,1700,
1018-3639,2213-1558,1018-3639,30286,JKSUES,Journal of King Saud University - Engineering Sciences,1503;2305;2205;2105;2501;1500;2103;2210;1507;1705;2209;2208,
2210-8319,,,,JKSULT,Journal of King Saud University - Languages and Translation,,
1018-3647,2213-686X,1018-3647,86891,JKSUS,Journal of King Saud University - Science,1000,
2352-2208,2352-2216,2352-2208,21100403130,JLAMP,Journal of Logical and Algebraic Methods in Programming,1712;2614;2609;1703,
2950-1954,2950-1954,,,JLB,The Journal of Liquid Biopsy,,
0959-4752,1873-3263,0959-4752,13455,JLI,Learning and Instruction,3304;3204,
0950-4230,1873-3352,0950-4230,13559,JLPP,Journal of Loss Prevention in the Process Industries,2207;1106;1500;2213;2102;1803;2209,
0022-2275,1539-7262,,17617,JLR,Journal of Lipid Research,1303;1310;1307,
0264-8377,1873-5754,0264-8377,14500,JLUP,Land Use Policy,1107;3305;2309;2308,
2213-9567,2213-9567,,21100461936,JMAA,Journal of Magnesium and Alloys,2211;2506,
0164-0704,1873-152X,0164-0704,20091,JMACRO,Journal of Macroeconomics,2002,
0264-1275,1873-4197,0264-1275,17797,JMADE,Materials & Design,2500;2211;2210,
0098-2997,1872-9452,0098-2997,19084,JMAM,Molecular Aspects of Medicine,1303;1313;1312;1308,
2352-8478,2352-8486,2352-8478,21100823470,JMAT,Journal of Materiomics,2504;2508;2506,
2213-879X,,,21101024181,JMAU,Journal of Microscopy and Ultrastructure,2504;2734;3105;2727,
1751-6161,1878-0180,1751-6161,8000153139,JMBBM,Journal of the Mechanical Behavior of Biomedical Materials,2502;2204;2211,
2772-9761,2772-9761,,,JMCCPL,Journal of Molecular and Cellular Cardiology Plus,,1300;1301;2704;2705;3000
0025-6196,1942-5546,0025-6196,17222,JMCP,Mayo Clinic Proceedings,2700,2705;2724;2730;2739
1000-1948,,,19400157129,JMCPLA,Journal of Medical Colleges of PLA,2700,
1525-8610,1538-9375,1525-8610,12066,JMDA,Journal of the American Medical Directors Association,2900;2719;2717,
1525-1578,1943-7811,1525-1578,15983,JMDI,The Journal of Molecular Diagnostics,2734;1313,
1093-3263,1873-4243,1093-3263,24621,JMG,Journal of Molecular Graphics and Modelling,1607;1606;1704;2505,
2666-6235,2666-6235,,21101077293,JMH,Journal of Migration and Health,3306;3317;3312;2725,"2725
"
2251-7294,,,21100220153,JMHI,Journal of Medical Hypotheses and Ideas,2700,
0968-4328,1878-4291,0968-4328,110086,JMIC,Micron,1315;1307;3100;2500,
1553-4650,1553-4669,1553-4650,144915,JMIG,The Journal of Minimally Invasive Gynecology,2729,
1684-1182,1995-9133,1684-1182,20238,JMII,"Journal of Microbiology, Immunology and Infection",2723;2400;2726;2725,
1939-8654,1876-7982,1939-8654,12100155517,JMIR,Journal of Medical Imaging and Radiation Sciences,3614;2741,
0260-4779,,,15300154834,JMMA,Museum Management and Curatorship,1403;1409,
1526-6125,2212-4616,1526-6125,27677,JMP,Journal of Manufacturing Processes,1408;1803;2209,
0264-8172,1873-4073,0264-8172,24548,JMPG,Marine and Petroleum Geology,1910;1908;1907;1905;1913,
0308-597X,1872-9460,0308-597X,27851,JMPO,Marine Policy,1104;2300;2002;2308;3308,
2666-4410,2666-4410,,21101162720,JMRO,Journal of Magnetic Resonance Open,2504;1602;2741;1607,"1607
"
2238-7854,2214-0697,2238-7854,21100383742,JMRTEC,Journal of Materials Research and Technology,2503;2502;2508;2506,
2667-145X,2667-145X,2667-1468,21101038577,JMSACL,Journal of Mass Spectrometry and Advances in the Clinical Lab,2404;1607;3607;1308,
2096-2320,2589-5532,2096-2320,21101036141,JMSE,Journal of Management Science and Engineering,1800;1404;2207;1403;2201;1408;1405,
2949-916X,2949-916X,,,JMSPH,"Journal of Medicine, Surgery, and Public Health",,2700;2739;2746
1005-0302,1941-1162,1005-0302,12330,JMST,Journal of Materials Science & Technology,2503;2211;2210;2507;2506;2505,
0278-6125,1878-6642,0278-6125,14966,JMSY,Journal of Manufacturing Systems,2207;1712;1708;2209,
0929-6441,,,17226,JMU,Journal of Medical Ultrasound,2741,
1526-9523,,,27603,JMWH,Journal of Midwifery and Women's Health,2729;2913,
1006-8104,,,,JNAU,Journal of Northeast Agricultural University (English edition),,
0955-2863,1873-4847,0955-2863,12719,JNB,The Journal of Nutritional Biochemistry,2712;1303;1312;2916;1308,
1617-1381,1618-1093,1617-1381,23324,JNC,Journal for Nature Conservation,2303;2309,
2667-0054,2667-0054,,21101094482,JNCC,Journal of the National Cancer Center,2720;2730;1306,"2730;1306
"
1110-0362,,,6100153013,JNCI,Journal of the Egyptian National Cancer Institute,2730;1306,
0963-8695,1879-1174,0963-8695,17852,JNDT,NDT and E International,2500;3104;2210,
1499-4046,1878-2620,1499-4046,12717,JNEB,Journal of Nutrition Education and Behavior,2701;2916,2916
2468-256X,2468-256X,2543-151X,,JNGGS,Journal of Natural Gas Geoscience,,
1875-5100,2949-9089,2949-9097,19400158619,JNGSE,Journal of Natural Gas Science and Engineering,2103;1909;2102,
1279-7707,1760-4788,,26661,JNHA,"The Journal of nutrition, health and aging",2701;2916;2717,
0165-5728,1872-8421,0165-5728,16749,JNI,Journal of Neuroimmunology,2723;2403;2808;2728,
1674-862X,2666-223X,,21100432792,JNLEST,Journal of Electronic Science and Technology,1711;1705;2208,
2666-4496,2666-4496,,21101082054,JNLSSR,Journal of Safety Science and Resilience,2213;3311;1706;1804;1803,
0027-9684,1943-4693,0027-9684,15816,JNMA,Journal of the National Medical Association,2700,
1355-1841,1878-089X,1355-1841,4000150401,JNN,Journal of Neonatal Nursing,2919,
0377-0257,1873-2631,0377-0257,14422,JNNFM,Journal of Non-Newtonian Fluid Mechanics,1500;2500;3104;2210;2604,
0189-8965,,,,JNNMS,Journal of the Nigerian Mathematical Society,,
2155-8256,2155-8264,2155-8256,21100415927,JNR,Journal of Nursing Regulation,2910;2901,
2324-2426,2324-2426,,,JNRT,Journal of Neurorestoratology,,
0022-510X,1878-5883,0022-510X,16820,JNS,Journal of the Neurological Sciences,2808;2728,
1880-4276,,,21100222301,JOA,Journal of Arrhythmia,2705,
2221-6189,,,21100834335,JOAD,Journal of Acute Disease,2700,
1349-0079,1880-3865,1349-0079,11200153561,JOB,Journal of Oral Biosciences,2701;3500;1300,
2369-9698,2369-9698,,21101021575,JOBAB,Journal of Bioresources and Bioproducts,1107;2502;1303;1605;2505,
2090-9896,,,,JOBAZ,The Journal of Basic & Applied Zoology,,
2588-9338,2588-9338,,21101069428,JOBB,Journal of Biosafety and Biosecurity,2213;2400;3310;2725,
2212-4268,2212-4276,2212-4268,21100461912,JOBCR,Journal of Oral Biology and Craniofacial Research,2733;3500,
2352-7102,2352-7102,,21100389518,JOBE,Journal of Building Engineering,2205;2216;2215;2213;2211,
1094-6950,1559-0747,1094-6950,15856,JOCD,Journal of Clinical Densitometry,2712;2732;2741,
2352-1775,,,21100854197,JOCIT,Journal of Cellular Immunotherapy,2723,
2667-2782,2667-2782,,21101142660,JOCLIM,The Journal of Climate Change and Health,2306;2739,"2306;2700;2719;2739
"
1755-5345,1755-5345,,21100246506,JOCM,Journal of Choice Modelling,2611;1804,
1097-6647,1532-429X,,23845,JOCMR,Journal of Cardiovascular Magnetic Resonance,3614;2741;2705,
2452-2325,,,21100451751,JOCO,Journal of Current Ophthalmology,2731,
2211-3649,2211-3657,2211-3649,21100202146,JOCRD,Journal of Obsessive-Compulsive and Related Disorders,3203;2738,
1877-7503,1877-7511,1877-7503,19700174607,JOCS,Journal of Computational Science,2614;1700;2611,
0022-0302,1525-3198,0022-0302,32795,JODS,Journal of Dairy Science,1106;1103;1311,
1743-9671,1746-0220,1743-9671,58130,JOEI,Journal of the Energy Institute,2207;2105;2103;3104;2102;2208,
1110-256X,,,,JOEMS,Journal of the Egyptian Mathematical Society,,
0099-2399,1878-3554,0099-2399,25688,JOEN,Journal of Endodontics,3500,
0167-4870,1872-7719,0167-4870,22915,JOEP,Journal of Economic Psychology,3312;3202;2002,
2468-0133,2468-0133,,21100981758,JOES,Journal of Ocean Engineering and Science,1910;2305;2212,
1701-2163,2665-9867,1701-2163,37502,JOGC,Journal of Obstetrics and Gynaecology Canada,2729,
0884-2175,1552-6909,0884-2175,28238,JOGN,"Journal of Obstetric, Gynecologic & Neonatal Nursing",2919;2906;2913,
2468-7847,2468-7847,2468-8495,21100812244,JOGOH,Journal of Gynecology Obstetrics and Human Reproduction,2743;2729,
1751-1577,1875-5879,1751-1577,5100155103,JOI,Journal of Informetrics,1706;3309,
2095-4964,2773-0727,2095-4964,21100258397,JOIM,Journal of Integrative Medicine,2707,
2667-100X,2667-100X,,21101092872,JOINTM,Journal of Intensive Medicine,2706,"2706
"
2199-8531,2199-8531,,21100887502,JOITMC,"Journal of Open Innovation: Technology, Market, and Complexity",3303;3312;2000,
0030-3992,1879-2545,0030-3992,12346,JOLT,Optics and Laser Technology,2504;3107;2208,
0022-328X,1872-8561,0022-328X,25897,JOM,Journal of Organometallic Chemistry,1303;1606;1605;1604;2505,
1875-6867,,,11100153305,JOMH,Journal of Men's Health,2748,
2212-5558,2212-5566,2212-5558,21100222518,JOMSMP,"Journal of Oral and Maxillofacial Surgery, Medicine, and Pathology",2746;3504;2734;2733,
2452-3364,,,21101043316,JONS,Journal of Oncological Sciences,2730,
1750-6549,,,,JOO,Journal of Cancer: Reviews and Research,,
2095-3836,2524-4507,2095-3836,21100803393,JOP,Journal of Palaeogeography,3305;1904;1911,
0275-5408,,,14604,JOPO,Ophthalmic and Physiological Optics,2731;3610;2809,
0974-6943,,,,JOPR,Journal of Pharmacy Research,,
0972-978X,0972-978X,2589-9082,21100256976,JOR,Journal of Orthopaedics,2732,
2773-157X,2773-157X,,,JOREP,Journal of Orthopaedic Reports,,
2468-7855,2468-7855,2468-8509,21100807103,JORMAS,Journal of Stomatology oral and Maxillofacial Surgery,2746;3504;2733,
2213-0780,2213-0799,2213-0780,21100255547,JORT,Journal of Outdoor Recreation and Tourism,1409,
0949-2658,1436-2023,0949-2658,12240,JOS,Journal of Orthopaedic Science,2746;2732,
2949-8759,2949-8759,2949-8767,,JOSAT,Journal of Substance Use and Addiction Treatment,,
2772-9648,2772-9648,,,JOSCR,JOS Case Reports,,
2950-3701,2950-3701,,,JOSFA,Journal of Sustainable Finance and Accounting,,2003
2214-031X,2214-0328,2214-031X,21100829921,JOT,Journal of Orthopaedic Translation,2732,
1672-2930,2524-1753,1672-2930,21100853516,JOTO,Journal of Otology,2733,
2210-4917,,,19800188017,JOTR,"Journal of Orthopaedics, Trauma and Rehabilitation",2732;3612;2742,
2542-4351,2542-4351,2542-4785,21100834904,JOUL,Joule,2100,
0022-4049,1873-1376,0022-4049,23968,JPAA,Journal of Pure and Applied Algebra,2602,
2666-4690,2666-4690,,21101094481,JPAP,Journal of Photochemistry and Photobiology,1603,"1603
"
0376-0421,1873-1724,0376-0421,12274,JPAS,Progress in Aerospace Sciences,2202;2211;2210,
1011-1344,1873-2682,1011-1344,17622,JPB,"Journal of Photochemistry & Photobiology, B: Biology",1304;3108;3614;2741,
2949-771X,2949-771X,,,JPBAO,Journal of Pharmaceutical and Biomedical Analysis Open,,
0079-6107,1873-1732,0079-6107,14906,JPBM,Progress in Biophysics and Molecular Biology,1304;1312,
1010-6030,1873-2666,1010-6030,26966,JPC,"Journal of Photochemistry & Photobiology, A: Chemistry",1600;1500;3100,
1474-7065,1873-5193,1474-7065,23315,JPCE,Physics and Chemistry of the Earth,1908;1906,
0960-8974,1878-4208,0960-8974,25122,JPCGCM,Progress in Crystal Growth and Characterization of Materials,2500;3104,
0360-1285,1873-216X,0360-1285,27538,JPECS,Progress in Energy and Combustion Science,1500;2103;2102,
0021-7557,1678-4782,0021-7557,15096,JPED,Jornal de Pediatria,2735,
2255-5536,,,,JPEDP,Jornal de Pediatria (Versão em Português),,
0970-2199,,,,JPFA,Journal of Pierre Fauchard Academy (India Section),,
2341-4545,,,21100453530,JPGE,GE Portuguese Journal of Gastroenterology,2715,
2772-9990,2772-9990,,,JPGOR,Political Geography Open Research,,"3312;3305;1202;3320
"
0962-6298,1873-5096,0962-6298,22857,JPGQ,Political Geography,3305;1202;3312,
2095-1779,2214-0883,2095-1779,19900192116,JPHA,Journal of Pharmaceutical Analysis,1602;3611;3003;3002;1607;1603,
1347-8613,1347-8648,1347-8613,23085,JPHS,Journal of Pharmacological Sciences,1313;3004,
1836-9553,1836-9561,,19700176802,JPHYS,Journal of Physiotherapy,3612,
2153-3539,2153-3539,,21100791701,JPI,Journal of Pathology Informatics,2734;2718;1706,
0176-1617,1618-1328,0176-1617,19257,JPLPH,Journal of Plant Physiology,1314;1102;1110,
0163-7827,1873-2194,0163-7827,26463,JPLR,Progress in Lipid Research,1303;1307,
1056-8719,1873-488X,1056-8719,25146,JPM,Journal of Pharmacological and Toxicological Methods,3005;3004,
0263-7863,1873-4634,0263-7863,19696,JPMA,International Journal of Project Management,1403;1405,
0079-6425,1873-2208,0079-6425,17899,JPMS,Progress in Materials Science,2500,
0149-1970,1878-4224,0149-1970,13182,JPNE,Progress in Nuclear Energy,2104;2213;2102;2311,
0079-6565,1873-3301,0079-6565,24085,JPNMRS,Progress in Nuclear Magnetic Resonance Spectroscopy,1602;1303;3106;1607,
0161-8938,1873-8060,0161-8938,20320,JPO,Journal of Policy Modeling,2002,
0032-3861,1873-2291,0032-3861,21444,JPOL,Polymer,1605;2507;2505,
1883-1958,,,16700154701,JPOR,Journal of Prosthodontic Research,3504;3501,
0278-4254,1873-2070,0278-4254,29849,JPP,Journal of Accounting and Public Policy,1402;3312,
0146-6410,1873-2224,0146-6410,29488,JPPNP,Progress in Particle and Nuclear Physics,3106,
2212-540X,2212-540X,,21100811143,JPPR,Propulsion and Power Research,2203;2202;2103;2210;1507,
0079-6700,1873-1619,0079-6700,26465,JPPS,Progress in Polymer Science,2503;3110;2507;1605;2505,
0079-6727,1873-1627,0079-6727,27130,JPQE,Progress in Quantum Electronics,2504;3109;3107;2208,
1389-5567,1873-2739,1389-5567,26968,JPR,"Journal of Photochemistry & Photobiology, C: Photochemistry Reviews",1503;1606;1605,
2352-5878,2352-5878,,21100403244,JPRA,JPRAS Open,2746,
1874-3919,1876-7737,1874-3919,11700154304,JPROT,Journal of Proteomics,1304;1303,
1350-9462,1873-1635,1350-9462,15090,JPRR,Progress in Retinal and Eye Research,2731;2809,
0885-3924,1873-6513,0885-3924,16790,JPS,Journal of Pain and Symptom Management,2900;2728;2703,
2667-1433,2667-1433,,21101089555,JPSE,Journal of Pipeline Science and Engineering,2213;2101;2210;1507,
2214-207X,,,,JPSIC,Journal of Patient Safety & Infection Control,,
0079-6786,1873-1643,0079-6786,27035,JPSSC,Progress in Solid State Chemistry,2500;3104;1606,
0163-7258,1879-016X,0163-7258,21195,JPT,Pharmacology and Therapeutics,3004;2736,
1077-291X,2375-0901,,21100205751,JPUBTR,Journal of Public Transportation,3305;3313;3322,
1477-5131,1873-4898,1477-5131,3200147817,JPUROL,Journal of Pediatric Urology,2735;2748,
1040-6182,1873-4553,1040-6182,25776,JQI,Quaternary International,1904,
0277-3791,1873-457X,0277-3791,26239,JQSR,Quaternary Science Reviews,2306;1105;1204;3302;1907,
0022-4073,1879-1352,0022-4073,12207,JQSRT,Journal of Quantitative Spectroscopy and Radiative Transfer,3108;3107;1607,
1001-7844,,,19500157006,JRC,Journal of Reproduction and Contraception,2734,
2211-5706,,,,JRDIA,Journal de Radiologie diagnostique et interventionnelle,,
1002-0721,2509-4963,1002-0721,12369,JRE,Journal of Rare Earths,1600;1906,
2097-0498,2773-0077,,21101175794,JRENG,Journal of Road Engineering,2205;2215,
2214-420X,,,21100853568,JRHM,Journal of Reproductive Health and Medicine,2743,
0165-0378,1872-7603,0165-0378,21284,JRI,Journal of Reproductive Immunology,2723;2403;2743;2729,
2352-6211,,,,JRID,Radiology of Infectious Diseases,,
0242-648X,,,16786,JRM,Journal de réadaptation médicale,3612;2742,
1674-7755,2589-0417,1674-7755,21100381006,JRMGE,Journal of Rock Mechanics and Geotechnical Engineering,1909,
0301-4207,1873-7641,0301-4207,110031,JRPO,Resources Policy,3312;2002;2308;3308,
1687-8507,2314-7164,1687-8507,,JRRAS,Journal of Radiation Research and Applied Sciences,,
2666-6596,2666-6596,,21101169875,JRT,Journal of Responsible Technology,1701;1709,"1702;1706;1709;1700;1405
"
2210-9706,2210-9714,2210-9706,21100197952,JRTPM,Journal of Rail Transport Planning & Management,2205;2611;3313;1706;1803,
2468-2179,2468-2179,2468-2284,21100868089,JSAMD,Journal of Science: Advanced Materials and Devices,2504;2503;2502;2501,
2772-6967,2772-6967,,,JSAMPL,JSAMS Plus,,"2732;3612
"
1440-2440,1878-1861,1440-2440,19874,JSAMS,Journal of Science and Medicine in Sport,2732;3612,
0389-4304,,,23995,JSAREV,JSAE Review,2203,
2949-9267,2949-9267,2949-9275,,JSASUS,Journal of Safety and Sustainability,,
2772-9303,2772-9303,,21101150317,JSCAI,Journal of the Society for Cardiovascular Angiography & Interventions,2705,"2705
"
1550-8307,1878-7541,1550-8307,4000148707,JSCH,EXPLORE,2900;2603;3602;2707,
1319-6103,2212-4640,1319-6103,19400158707,JSCS,Journal of Saudi Chemical Society,1600,
0191-491X,1879-2529,0191-491X,23237,JSEE,Studies in Educational Evaluation,3304,
1004-4132,,,,JSEEC,Journal of Systems Engineering and Electronics,,
2666-6383,2666-6383,,21101047053,JSEINT,JSES International,2746;2732,"2732
"
1071-5576,,,28605,JSG,Journal of the Society for Gynecologic Investigation,2729,
1016-7315,,,19500157307,JSHA,Journal of the Saudi Heart Association,2705,
2095-2546,2213-2961,2095-2546,21100294621,JSHS,Journal of Sport and Health Science,2732;3612,
2300-3960,,,21100871631,JSM,Journal of Sustainable Mining,2305;2105;1909;2310;1907,
0022-4405,1873-3506,0022-4405,30074,JSP,Journal of School Psychology,3304;3204,
0265-9646,1879-338X,0265-9646,12915,JSPA,Space Policy,3312;2002;1912;3308,
2212-134X,,,21100248810,JSPD,Spine Deformity,2732,
0378-3758,1873-1171,0378-3758,12136,JSPI,Journal of Statistical Planning and Inference,2613;1804;2604,
0022-4375,1879-1247,0022-4375,29284,JSR,Journal of Safety Research,2213,
0164-1212,1873-1228,0164-1212,19309,JSS,The Journal of Systems & Software,1712;1710;1708,
1658-077X,1658-077X,1658-077X,21100817638,JSSAS,Journal of the Saudi Society of Agricultural Sciences,1100,
0967-067X,,,13435,JSSC,Communist and Post-Communist Studies,3303;3312,
2468-8967,2468-8967,2468-8975,21100871641,JSSE,The Journal of Space Safety Engineering,2202;2213,
2589-2363,,,,JSSM,Journal of Safety Science and Management,,
